Review Number,Title of Review,Review,Lemmatization,Semantic Analysis
0,Outstanding movie with a haunting performance and best character development ever seen,"Every once in a while a movie comes, that truly makes an impact. Joaquin's performance and scenography in all it's brilliance. Grotesque, haunting and cringy. Hard to watch at times,... but so mesmerizing, you won't blink an eye watching it. Tragic, but with seriously funny moments. Emotional rollercoaster - sometimes, with multiple emotions popping-up at the same time.\n\nthis is far from a typical action-riddled predictable super-hero movie - it's a proper psychological thriller/drama, with the single best character development I have ever seen.",everi onc in a while a movi come that truli make an impact joaquin perform and scenographi in all it brillianc grotesqu hunt and cring hard to watch at time but so mesmer you wont blink an eye watch it tragic but with serious funni moment emot rollercoast sometim with multipl emot pop at the same time thi is far from a typic actionriddl predict superhero movi it a proper psycholog thrillerdrama with the singl best charact develop i have ever seen,Positive
1,Only certain people can relate,"This is a movie that only those who have felt alone and isolated can truly relate to it. You understand the motive and you feel sorry for the character. A lot of people will see this movie and think that it encourages violence. But truly, this movie should encourage each and every one of us to become a better person, treat everyone with respect and make each other feel like they belong in this world, instead of making them feel isolated.",thi is a movi that onli those who have felt alon and isol can truli relat to it you understand the motiv and you feel sorri for the charact a lot of peopl will see thi movi and think that it encourag violenc but truli thi movi should encourag each and everi one of us to becom a better person treat everyon with respect and make each other feel like they belong in thi world instead of make them feel isol,Positive
2,Perfect in every aspect.,"Truly a masterpiece, The Best Hollywood film of 2019, one of the Best films of the decade... And truly the Best film to bring a comic book so chillingly and realistically to real ife. Remarkable Direction, Cinematography, Music and the Acting. Some people are surprised to find it DISTURBING and VIOLENT, but it's a necessity and message. It's about society and reflects those underappreciated/unrecognized/bullied people, proving they can do something too. The way it shows class difference, corruption and how rich and talented rule others around them is not exaggerated and that's what makes it different. It's BELIEVABLE. There could be multiple JOKERs living in our society that could shake those around them in much bitter way than the film shows making people uncomforting people. Consider this a wake up call, a message, but first a film. A PERFECT film.",truli a masterpiec the best hollywood film of 2019 one of the best film of the decad and truli the best film to bring a comic book so willingli and realist to real if remark direct cinematographi music and the act some peopl are surpris to find it disturb and violent but it a necess and messag it about societi and reflect those underappreciatedunrecognizedbulli peopl prove they can do someth too the way it show class differ corrupt and how rich and talent rule other around them is not exagger and that what make it differ it believ there could be multipl joke live in our societi that could shake those around them in much bitter way than the film show make peopl comfort peopl consid thi a wake up call a messag but first a film a perfect film,Positive
3,MASTERPIECE ??,"Joaquin Phoenix gives a tour de force performance, fearless and stunning in its emotional depth and physicality. It's impossible to talk about this without referencing Heath Ledger's Oscar-winning performance from The Dark Knight, widely considered the definitive live-action portrayal of the Joker, so let's talk about it. The fact is, everyone is going to be stunned by what Phoenix accomplishes, because it's what many thought impossible - a portrayal that matches and potentially exceeds that of The Dark Knight's Clown Prince of Crime",joaquin phoenix give a tour de forc perform fearless and stun in it emot depth and physic it imposs to talk about thi without referenc heath ledger oscarwin perform from the dark knight wide consid the definit liveact portray of the joke so let talk about it the fact is everyon is go to be stun by what phoenix accomplish becaus it what mani thought imposs a portray that match and potenti exce that of the dark knight clown princ of crime,Positive
4,The Hype is real,"Most of the time movies are anticipated like this they end up falling short, way short. Joker is the first time I was more than happy with the hype. Please ignore the complaints of ""pernicious violence"" as they are embarrassing to say the least. We haven't seen a comic movie this real before. If we ever ""deserved"" a better class of criminal - Phillips and Phoenix have delivered. This is dark, Joker IS dark and you will fall in love with the villain as you should. The bad guys are always more romantic anyway.",most of the time move are anticip like thi they end up fall short way short joke is the first time i wa more than happi with the hope pleas ignor the complaint of pernici violenc as they are embarrass to say the least we haven seen a comic movi thi real befor if we ever deserv a better class of crimin phillip and phoenix have deliv thi is dark joke is dark and you will fall in love with the villain as you should the bad gun are alway more romant anyway,Positive
5,JUST AMAZING. How does this movie exist.,"Let me start off by saying if Joaquin Phoneix doesn't get his Oscar for this movie. Then the Oscars should be cancelled. Phoneix is amazing as you might've heard from every review ever! But Todd Phillips. Is at his best here. The story lines he takes and visuals are just breathtaking. The score!! Omg the Score! Every time that score came on, I felt very uncomfortable, like something horrible was about to happen. It was GREAT. The Inspirations from Taxi Driver and King of Comedy are there, and add so much for the movie. And I got to be honest. There are scenes that are very violent. And its disturbing. But I honestly expected it to be WAYYYY more violent from all the controversy going on. Overall this movie was GREAT. Come Oscar season, it needs to be nominated for Best Picture, ScreenPlay, Cinematography, Actor, Score and Director",let me start off by say if joaquin phoenix doesn get hi oscar for thi movi then the scar should be cancel phoenix is amaz as you might heard from everi review ever but told phillip is at hi best here the stori line he take and visual are just breathtak the score org the score everi time that score came on i felt veri uncomfort like someth horribl wa about to happen it wa great the inspir from taxi driver and king of comedi are there and add so much for the movi and i got to be honest there are scene that are veri violent and it disturb but i honestli expect it to be wayyyi more violent from all the controversi go on overal thi movi wa great come oscar season it need to be nomin for best pictur screenplay cinematographi actor score and director,Positive
6,Went for a second time to watch,"I get why some people hate this . It's because of the political message and how some people think that you need get empathy for Arthur's madness. But come on that is not the point and it will never be. Enjoy this masterpiece because Joaquin Phoenix and Todd Phillips overdid themselves with this movie . The acting,music and cinematography are just amazing ! Please enjoy the movie without overthinking it.",i get whi some peopl hate thi it becaus of the polit messag and how some peopl think that you need get empti for arthur mad but come on that is not the point and it will never be enjoy thi masterpiec becaus joaquin phoenix and told phillip overdid themselv with thi movi the actingmus and cinematographi are just amaz pleas enjoy the movi without overthink it,Neutral
7,"A psychological study, rather than a superhero flick","I have seen Joker yesterday at Venice an early ill-fated screening. We had some trouble with audio that lead to a near-hour delay, but it definitely was worth it.\n\nJoker deserved to be presented at Venice Film Festival, an event that regards cinema as a form of art, because this film is far from a blockbuster or a mere entertainer movie, as most films in the genre are.\n\nIt focuses on the psyche of the main character, as it slowly crumbles under the pressure of society. And thus, Joaquin Phoenix does a wonderful performance, earning almost surely a nomination at the oscars at least. It's a take on the Joker that differs from Ledger's, but I'd say that both are equally as good. The main difference might be that Ledger's joker is a rational that acts insane, while Phoenix's is insane to the root.\n\nDespite being a movie about a superhero villain, Joker is much superior to most of the movies of the genre (I'd exclude the Dark Knight Trilogy only, but Joker is easily as good as Nol...",i have seen joke yesterday at venic an earli inflat screen we had some troubl with audit that lead to a nearhour delay but it definit wa worth it joke deserv to be present at venic film festiv an event that regard cinema as a form of art becaus thi film is far from a blockbust or a mere entertain movi as most film in the gene are it focus on the psychic of the main charact as it slowli crumbl under the pressur of societi and thu joaquin phoenix doe a wonder perform earn almost sure a nomin at the scar at least it a take on the joke that differ from ledger but id say that both are equal as good the main differ might be that ledger joke is a ration that act insan while phoenix is insan to the root despit be a movi about a superhero villain joke is much superior to most of the move of the gene id exclud the dark knight trilog onli but joke is easili as good as plan move or at least veri close it is a smallscal film with a distinct style and cinematographi that can not but be appreci a...,Neutral
8,"Joaquin 'OSCAR', Joker = best Dark suspense thriller ... Darker than dark Knight.","It's sad that Joaquin missed Oscar for 'The gladiator' as he was very compelling Villain. But I am quite confident he will win it for the 'Joker'. Damn what a movie !!! Keeps u on the toes all the time. Unpredictable storyline and really a deep interesting plot. Did I forget to mention acting ? Damn Do niro and Joaquin teach u what really is 5 star acting. To enjoy this movie, get a wine in your hand, close the curtains, turn of ur cellphones and put do not disturb sign on ur door. Best Dark thriller suspense movie you will get to experience.",it sad that joaquin miss oscar for the gladiat as he wa veri compel villain but i am quit confid he will win it for the joke damn what a movi keep u on the toe all the time predict storylin and realli a deep interest plot did i forget to mention act damn do no and joaquin teach u what realli is 5 star act to enjoy thi movi get a wine in your hand close the curtain turn of or cellphon and put do not disturb sign on or door best dark thrill suspens movi you will get to experi,Positive
9,Venice 76 review,,,
